job_id,company_id,country,industry,company_speciality,company_size,job_title,work_specialization,pay_period,average_hourly_rate
3757940104,553718.0,US,Retail,Digital Hearing Instruments,5.0,Hearing Care Provider,Other,MONTHLY,30.52
3757938018,18213359.0,US,Non-profit Organization Management,,4.0,Cook,Management,HOURLY,22.27
3757937095,437225.0,US,Retail,Vitamins,5.0,Principal Cloud Security Architect (Remote),Information Technology,YEARLY,115.81
3757936097,18213359.0,US,Non-profit Organization Management,,4.0,Dishwasher,Management,HOURLY,19.3
3757935381,19181907.0,US,Market Research,Automotive Research,4.0,Insights Analyst - Auto Industry,Research,YEARLY,29.33
3757935001,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757934423,18213359.0,US,Non-profit Organization Management,,4.0,Custodian/Janitor,Management,HOURLY,19.3
3757934347,10515052.0,CA,Motor Vehicle Manufacturing,,6.0,Body Technician,Engineering,HOURLY,25.0
3757934319,18391435.0,US,Staffing and Recruiting,talent search,,Controls Engineer,Engineering,YEARLY,65.14
3757934318,6577380.0,US,Retail Office Equipment,storage containers,2.0,CDL Class B Driver,Management,HOURLY,26.0
3757934281,2238.0,FR,Food and Beverage Manufacturing,Fresh Dairy products,7.0,"Senior Manager, Indirect Procurement",Strategy/Planning,YEARLY,57.45
3757934267,28352.0,US,Wholesale,Wholesale marketing and distribution,6.0,CDL A Delivery Driver,Management,YEARLY,45.67
3757934264,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757934178,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757934003,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757933843,19181907.0,US,Market Research,Automotive Research,4.0,Senior Insights Analyst - Financial Services team,Research,YEARLY,34.86
3757933435,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757933320,213591.0,US,Advertising Services,Digital Strategy,1.0,Writer,Marketing,YEARLY,32.45
3757933252,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757932846,10515052.0,CA,Motor Vehicle Manufacturing,,6.0,Estimator In Training,Management,HOURLY,17.0
3757932813,6577380.0,US,Retail Office Equipment,storage containers,2.0,Finisher/Carpenter,Management,HOURLY,19.5
3757932799,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757932761,91313799.0,US,Software Development,,,BCBA [5159],Administrative,YEARLY,40.87
3757932736,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757932471,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757932015,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931926,9596847.0,US,,,1.0,Staff Pharmacist,Health Care Provider,HOURLY,63.17
3757931835,10515052.0,CA,Motor Vehicle Manufacturing,,6.0,Body Technician,Engineering,HOURLY,25.0
3757931788,6464.0,US,Higher Education,business,5.0,Admissions Processing Supervisor,Accounting/Auditing,YEARLY,19.23
3757931774,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931759,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931738,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931730,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931721,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931720,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931640,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931639,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757931596,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757930914,11357247.0,US,Staffing & Recruiting,ICU,2.0,1 Cath Lab Rad Tech opening at Centinela Hospital Medical Center for $2026.56 gross weekly,Research,HOURLY,30.76
3757930912,3743123.0,US,Hospitals and Health Care,Registered Dietitian Services,2.0,Registered Dietitian (50% remote),Health Care Provider,HOURLY,34.0
3757930887,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757930873,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757930799,78708714.0,US,Staffing & Recruiting,,2.0,Imaging Supervisor,Health Care Provider,YEARLY,69.71
3757930215,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757930108,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757929967,6577380.0,US,Retail Office Equipment,storage containers,2.0,CDL Class A Driver,Management,HOURLY,28.0
3757929959,73013724.0,US,Financial Services,,3.0,Sales Manager,Sales,YEARLY,114.18
3757929941,79098833.0,US,Outsourcing and Offshoring Consulting,Software Development,1.0,Independent Mental Health Practitioner  LIMHP [5160],Administrative,YEARLY,40.87
